fecha,geografia,variable,valor,unidad,fuente
2023-01-12,Antioquia,temp_max,24.5,°C,open-meteo
2023-01-12,Antioquia,temp_min,15.5,°C,open-meteo
2023-01-12,COLOMBIA,fx_usd_local,4730.75,COP/USD,yfinance
2023-01-12,COLOMBIA,precio_interno_referencia,1731000.0,COP/carga_125kg,FNC
2023-01-12,Caldas,precipitacion,31.9,mm,open-meteo
2023-01-12,Caldas,temp_max,16.1,°C,open-meteo
2023-01-12,Caldas,temp_min,9.0,°C,open-meteo
2023-01-12,Cauca,precipitacion,6.6,mm,open-meteo
2023-01-12,Cauca,temp_max,18.8,°C,open-meteo
2023-01-12,Cauca,temp_min,14.1,°C,open-meteo
2023-01-12,GLOBAL,precio_cafe_arabica,149.39999389648438,USc/lb,yfinance
2023-01-12,Huila,precipitacion,4.1,mm,open-meteo
2023-01-12,Huila,temp_max,24.5,°C,open-meteo
2023-01-12,Huila,temp_min,14.8,°C,open-meteo
2023-01-12,Nariño,precipitacion,7.9,mm,open-meteo
2023-01-12,Nariño,temp_max,18.9,°C,open-meteo
2023-01-12,Nariño,temp_min,13.8,°C,open-meteo
2023-01-12,Quindío,precipitacion,30.5,mm,open-meteo
2023-01-12,Quindío,temp_max,19.0,°C,open-meteo
2023-01-12,Quindío,temp_min,14.4,°C,open-meteo
2023-01-12,Risaralda,precipitacion,10.1,mm,open-meteo
2023-01-12,Risaralda,temp_max,22.1,°C,open-meteo
2023-01-12,Risaralda,temp_min,13.5,°C,open-meteo
2023-01-12,Tolima,precipitacion,18.2,mm,open-meteo
2023-01-12,Tolima,temp_max,21.0,°C,open-meteo
2023-01-12,Tolima,temp_min,12.2,°C,open-meteo
2023-01-13,Antioquia,precipitacion,6.6,mm,open-meteo
2023-01-13,Antioquia,temp_max,24.6,°C,open-meteo
2023-01-13,Antioquia,temp_min,15.2,°C,open-meteo
2023-01-13,COLOMBIA,fx_usd_local,4695.009765625,COP/USD,yfinance
2023-01-13,COLOMBIA,precio_interno_referencia,1760000.0,COP/carga_125kg,FNC
2023-01-13,Caldas,precipitacion,33.0,mm,open-meteo
2023-01-13,Caldas,temp_max,16.5,°C,open-meteo
2023-01-13,Caldas,temp_min,8.9,°C,open-meteo
2023-01-13,Cauca,precipitacion,5.3,mm,open-meteo
2023-01-13,Cauca,temp_max,19.7,°C,open-meteo
2023-01-13,Cauca,temp_min,13.4,°C,open-meteo
2023-01-13,GLOBAL,precio_cafe_arabica,151.6999969482422,USc/lb,yfinance
2023-01-13,Huila,precipitacion,2.8,mm,open-meteo
